source_dataset,presbytery_normalized,presbytery_id,canonicalization_status,observed_roster_rows,unique_printed_name_denominator,confirmed_person_count,confirmed_resolution_rate,multi_roster_person_count,multi_roster_rate_among_confirmed
nae_withdrawal_protest_2022,metro new york,metropolitan-new-york,known_alias,2,2,0,0.00,0,0.00
nae_withdrawal_protest_2022,missouri,missouri,current_exact,13,13,9,69.23,9,100.00
nae_withdrawal_protest_2022,nashville,nashville,current_exact,15,15,8,53.33,8,100.00
nae_withdrawal_protest_2022,new jersey,new-jersey,current_exact,1,1,0,0.00,0,0.00
nae_withdrawal_protest_2022,new york metro,metropolitan-new-york,known_alias,3,3,0,0.00,0,0.00
nae_withdrawal_protest_2022,new york state,new-york-state,current_exact,1,1,0,0.00,0,0.00
nae_withdrawal_protest_2022,north florida,north-florida,current_exact,2,2,0,0.00,0,0.00
nae_withdrawal_protest_2022,north texas,north-texas,current_exact,2,2,1,50.00,1,100.00
nae_withdrawal_protest_2022,northern california,northern-california,current_exact,7,7,3,42.86,3,100.00
nae_withdrawal_protest_2022,ohio,ohio,current_exact,1,1,1,100.00,1,100.00
nae_withdrawal_protest_2022,ohio valley,ohio-valley,current_exact,2,2,1,50.00,1,100.00
nae_withdrawal_protest_2022,pacific,pacific,current_exact,1,1,0,0.00,0,0.00
nae_withdrawal_protest_2022,pacific northwest,pacific-northwest,current_exact,1,1,1,100.00,1,100.00
nae_withdrawal_protest_2022,palmetto,palmetto,current_exact,1,1,0,0.00,0,0.00
nae_withdrawal_protest_2022,philadelphia,philadelphia,current_exact,1,1,0,0.00,0,0.00
nae_withdrawal_protest_2022,piedmont triad,piedmont-triad,current_exact,2,2,2,100.00,2,100.00
nae_withdrawal_protest_2022,pittsburgh,pittsburgh,current_exact,3,3,3,100.00,3,100.00
nae_withdrawal_protest_2022,platte valley,platte-valley,current_exact,1,1,0,0.00,0,0.00
nae_withdrawal_protest_2022,potomac,potomac,current_exact,7,7,1,14.29,1,100.00
nae_withdrawal_protest_2022,providence,providence,current_exact,1,1,0,0.00,0,0.00
nae_withdrawal_protest_2022,savannah river,savannah-river,current_exact,3,3,0,0.00,0,0.00
nae_withdrawal_protest_2022,sothern new england,southern-new-england,known_alias,1,1,0,0.00,0,0.00
nae_withdrawal_protest_2022,south coast,south-coast,current_exact,3,3,3,100.00,3,100.00
nae_withdrawal_protest_2022,south texas,south-texas,current_exact,3,3,2,66.67,2,100.00
nae_withdrawal_protest_2022,southern louisiana,southern-louisiana,current_exact,1,1,1,100.00,1,100.00
nae_withdrawal_protest_2022,southern new england,southern-new-england,current_exact,5,5,2,40.00,2,100.00
nae_withdrawal_protest_2022,southwest florida,southwest-florida,current_exact,2,2,1,50.00,1,100.00
nae_withdrawal_protest_2022,suncoast,suncoast-florida,known_alias,1,1,0,0.00,0,0.00
nae_withdrawal_protest_2022,susquehanna,susquehanna-valley,known_alias,1,1,1,100.00,1,100.00
nae_withdrawal_protest_2022,tennessee valley,tennessee-valley,current_exact,3,3,2,66.67,2,100.00
nae_withdrawal_protest_2022,tidewater,tidewater,current_exact,1,1,0,0.00,0,0.00
nae_withdrawal_protest_2022,warrior,warrior,current_exact,1,1,0,0.00,0,0.00
nae_withdrawal_protest_2022,wisconsin,wisconsin,current_exact,3,3,1,33.33,1,100.00
national_partnership_confirmed_members,ascension,ascension,current_exact,1,1,0,0.00,0,0.00
national_partnership_confirmed_members,blue ridge,blue-ridge,current_exact,2,2,0,0.00,0,0.00
national_partnership_confirmed_members,build that wall,,unresolved_historical_or_noncanonical,1,1,0,0.00,0,0.00
national_partnership_confirmed_members,central florida,central-florida,current_exact,4,4,2,50.00,2,100.00
national_partnership_confirmed_members,central indiana,central-indiana,current_exact,2,2,1,50.00,1,100.00
national_partnership_confirmed_members,chesapeake,chesapeake,current_exact,3,3,3,100.00,3,100.00
national_partnership_confirmed_members,chicago metro,chicago-metro,current_exact,10,10,4,40.00,4,100.00
national_partnership_confirmed_members,columbus metro,,unresolved_historical_or_noncanonical,1,1,1,100.00,1,100.00
national_partnership_confirmed_members,eastern canada,eastern-canada,current_exact,4,4,2,50.00,2,100.00
national_partnership_confirmed_members,eastern carolina,eastern-carolina,current_exact,3,3,1,33.33,1,100.00
national_partnership_confirmed_members,evangel,evangel,current_exact,2,2,1,50.00,1,100.00
national_partnership_confirmed_members,georgia foothills,georgia-foothills,current_exact,1,1,0,0.00,0,0.00
national_partnership_confirmed_members,great lakes,great-lakes,current_exact,1,1,0,0.00,0,0.00
national_partnership_confirmed_members,gulfstream,gulfstream,current_exact,2,2,0,0.00,0,0.00
national_partnership_confirmed_members,heritage,heritage,current_exact,3,3,1,33.33,1,100.00
national_partnership_confirmed_members,hills and plains,hills-and-plains,current_exact,1,1,0,0.00,0,0.00
national_partnership_confirmed_members,houston metro,houston-metro,current_exact,1,1,1,100.00,1,100.00
national_partnership_confirmed_members,iowa,iowa,current_exact,2,2,1,50.00,1,100.00
national_partnership_confirmed_members,james river,james-river,current_exact,3,3,0,0.00,0,0.00
national_partnership_confirmed_members,korean capital,korean-capital,current_exact,1,1,1,100.00,1,100.00
national_partnership_confirmed_members,metro atlanta,metro-atlanta,current_exact,5,5,2,40.00,2,100.00
national_partnership_confirmed_members,metro new york,metropolitan-new-york,known_alias,2,2,1,50.00,1,100.00
national_partnership_confirmed_members,missouri,missouri,current_exact,3,3,1,33.33,1,100.00
national_partnership_confirmed_members,nashville,nashville,current_exact,4,4,3,75.00,3,100.00
national_partnership_confirmed_members,new york state,new-york-state,current_exact,1,1,0,0.00,0,0.00
national_partnership_confirmed_members,north texas,north-texas,current_exact,4,4,0,0.00,0,0.00
national_partnership_confirmed_members,northern california,northern-california,current_exact,1,1,0,0.00,0,0.00
national_partnership_confirmed_members,northern new england,northern-new-england,current_exact,2,2,0,0.00,0,0.00
national_partnership_confirmed_members,ohio,ohio,current_exact,2,2,1,50.00,1,100.00
national_partnership_confirmed_members,ohio valley,ohio-valley,current_exact,3,3,2,66.67,2,100.00
national_partnership_confirmed_members,pacific northwest,pacific-northwest,current_exact,1,1,0,0.00,0,0.00
national_partnership_confirmed_members,philadelphia,philadelphia,current_exact,4,4,0,0.00,0,0.00
national_partnership_confirmed_members,philadelphia metro west,philadelphia-metro-west,current_exact,1,1,1,100.00,1,100.00
national_partnership_confirmed_members,piedmont triad,piedmont-triad,current_exact,4,4,3,75.00,3,100.00
national_partnership_confirmed_members,pittsburgh,pittsburgh,current_exact,1,1,0,0.00,0,0.00
national_partnership_confirmed_members,platte valley,platte-valley,current_exact,1,1,0,0.00,0,0.00
national_partnership_confirmed_members,pnw,pacific-northwest,known_alias,1,1,0,0.00,0,0.00
national_partnership_confirmed_members,potomac,potomac,current_exact,4,4,2,50.00,2,100.00
national_partnership_confirmed_members,rocky mountain,rocky-mountain,current_exact,2,2,0,0.00,0,0.00
national_partnership_confirmed_members,rocky mtn,rocky-mountain,known_alias,2,2,0,0.00,0,0.00
national_partnership_confirmed_members,s new england,southern-new-england,known_alias,1,1,0,0.00,0,0.00
national_partnership_confirmed_members,se alabama,southeast-alabama,known_alias,1,1,0,0.00,0,0.00
national_partnership_confirmed_members,se louisiana,southern-louisiana,known_alias,4,4,1,25.00,1,100.00
national_partnership_confirmed_members,siouxlands,siouxlands,current_exact,1,1,0,0.00,0,0.00
national_partnership_confirmed_members,south coast,south-coast,current_exact,1,1,0,0.00,0,0.00
national_partnership_confirmed_members,south florida,south-florida,current_exact,1,1,1,100.00,1,100.00
national_partnership_confirmed_members,south texas,south-texas,current_exact,1,1,1,100.00,1,100.00
national_partnership_confirmed_members,southern louisiana,southern-louisiana,current_exact,1,1,1,100.00,1,100.00
national_partnership_confirmed_members,southern new england,southern-new-england,current_exact,3,3,1,33.33,1,100.00
national_partnership_confirmed_members,southwest,,unresolved_historical_or_noncanonical,1,1,0,0.00,0,0.00
national_partnership_confirmed_members,southwest florida,southwest-florida,current_exact,4,4,1,25.00,1,100.00
national_partnership_confirmed_members,suncoast,suncoast-florida,known_alias,1,1,0,0.00,0,0.00
national_partnership_confirmed_members,tennessee valley,tennessee-valley,current_exact,1,1,0,0.00,0,0.00
national_partnership_confirmed_members,tidewater,tidewater,current_exact,2,2,1,50.00,1,100.00
national_partnership_confirmed_members,tvp,tennessee-valley,known_alias,1,1,0,0.00,0,0.00
national_partnership_confirmed_members,western canada,,unresolved_historical_or_noncanonical,1,1,0,0.00,0,0.00
national_partnership_confirmed_members,westminster,westminster,current_exact,5,5,1,20.00,1,100.00
